unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1769955660,2026-02-01T14:21:00.0000000Z,BTC-USDT,78064.1,78125.3,78064,78107.1,5.10771637,398948.913283227
1769955720,2026-02-01T14:22:00.0000000Z,BTC-USDT,78107,78129.8,77998,78017,24.77008885,1932488.02181045
1769955780,2026-02-01T14:23:00.0000000Z,BTC-USDT,78017.1,78069.8,78016,78062.2,18.00688126,1405656.766294372
1769955840,2026-02-01T14:24:00.0000000Z,BTC-USDT,78063.9,78091,78047,78055,4.61861753,360506.19130415
1769955900,2026-02-01T14:25:00.0000000Z,BTC-USDT,78055,78179.9,77892.5,78049.8,24.07598068,1879125.476877864
1769955960,2026-02-01T14:26:00.0000000Z,BTC-USDT,78045.7,78124.4,78036,78036.1,6.46675058,504639.994935938
1769956020,2026-02-01T14:27:00.0000000Z,BTC-USDT,78042,78060,77941.6,77941.6,4.65577178,362878.301768048
1769956080,2026-02-01T14:28:00.0000000Z,BTC-USDT,77941.7,77941.7,77850.3,77884.9,11.93139504,929275.509550896
1769956140,2026-02-01T14:29:00.0000000Z,BTC-USDT,77880,77894.3,77817.1,77854,10.74771231,836752.39418274
1769956200,2026-02-01T14:30:00.0000000Z,BTC-USDT,77846.1,77957.7,77841,77933,8.99856749,701285.36019817
1769956260,2026-02-01T14:31:00.0000000Z,BTC-USDT,77931.1,77931.1,77700.7,77742,42.25276286,3284814.29026212
1769956320,2026-02-01T14:32:00.0000000Z,BTC-USDT,77742.1,77865.9,77731,77800,8.05352622,626564.33991600
1769956380,2026-02-01T14:33:00.0000000Z,BTC-USDT,77796,77819.9,77707,77715.1,7.85541511,610484.370815161
1769956440,2026-02-01T14:34:00.0000000Z,BTC-USDT,77715,77718,77500,77502.2,38.9639199,3019789.51287378
1769956500,2026-02-01T14:35:00.0000000Z,BTC-USDT,77502.3,77600,77502.3,77516.6,22.97775407,1781157.371142562
1769956560,2026-02-01T14:36:00.0000000Z,BTC-USDT,77521.4,77584.7,77488.7,77522,20.7029496,1604934.0588912
1769956620,2026-02-01T14:37:00.0000000Z,BTC-USDT,77522.1,77535,77356,77379.1,102.54688416,7934985.604105056
1769956680,2026-02-01T14:38:00.0000000Z,BTC-USDT,77379,77401.9,77273.6,77364.9,11.88537277,919510.675813773
1769956740,2026-02-01T14:39:00.0000000Z,BTC-USDT,77360.3,77412,77219.2,77403,47.73471471,3694810.12269813
1769956800,2026-02-01T14:40:00.0000000Z,BTC-USDT,77402.9,77600,77379.8,77582.3,34.66350476,2689274.425341748
1769956860,2026-02-01T14:41:00.0000000Z,BTC-USDT,77582,77588.9,77477.9,77557,4.57146533,354549.13659881
1769956920,2026-02-01T14:42:00.0000000Z,BTC-USDT,77555,77777.6,77516.5,77770.5,35.87826162,2790270.345318210
1769956980,2026-02-01T14:43:00.0000000Z,BTC-USDT,77766.5,77964.6,77766.5,77929.2,17.91694957,1396253.546430444
1769957040,2026-02-01T14:44:00.0000000Z,BTC-USDT,77924.4,78141.3,77880.1,77898.1,31.05983947,2419502.481018007
1769957100,2026-02-01T14:45:00.0000000Z,BTC-USDT,77898.1,78103.7,77898.1,77987.6,12.54286129,978187.649140004
1769957160,2026-02-01T14:46:00.0000000Z,BTC-USDT,78002.9,78016.9,77889.3,77959,4.28080739,333727.46331701
1769957220,2026-02-01T14:47:00.0000000Z,BTC-USDT,77962.1,77973,77874.9,77880,9.81718929,764562.70190520
1769957280,2026-02-01T14:48:00.0000000Z,BTC-USDT,77880,78042,77801,78041.9,25.53956136,1993155.893700984
1769957340,2026-02-01T14:49:00.0000000Z,BTC-USDT,78041.9,78094.6,78036.2,78089.6,4.53393947,354053.519636512
1769957400,2026-02-01T14:50:00.0000000Z,BTC-USDT,78089.5,78376.4,78079.8,78376.4,16.01658,1255321.880712
1769957460,2026-02-01T14:51:00.0000000Z,BTC-USDT,78376.4,78524.9,78311.8,78337.9,14.28652,1119175.975108
1769957520,2026-02-01T14:52:00.0000000Z,BTC-USDT,78337.1,78345.5,78250,78341.9,3.45798377,270905.018710963
1769957580,2026-02-01T14:53:00.0000000Z,BTC-USDT,78341.9,78344.4,78265.5,78311,3.94249233,308740.51685463
1769957640,2026-02-01T14:54:00.0000000Z,BTC-USDT,78311,78317.2,78240,78241.3,5.20279964,407073.807473132
1769957700,2026-02-01T14:55:00.0000000Z,BTC-USDT,78240,78319.9,78150.1,78318,15.14137206,1185841.97699508
1769957760,2026-02-01T14:56:00.0000000Z,BTC-USDT,78318.1,78356.1,78292,78311.1,3.66959133,287369.733602763
1769957820,2026-02-01T14:57:00.0000000Z,BTC-USDT,78311,78338,78245.2,78330,6.30255518,493679.14724940
1769957880,2026-02-01T14:58:00.0000000Z,BTC-USDT,78330.1,78429.3,78294.9,78328.9,20.79451175,1628811.231414575
1769957940,2026-02-01T14:59:00.0000000Z,BTC-USDT,78328.8,78331.3,78209.1,78209.3,3.78480594,296007.023203242
1769958000,2026-02-01T15:00:00.0000000Z,BTC-USDT,78213.2,78226.8,78159.4,78198.8,4.84189339,378630.252825932
